Case,Name,Rank,Badge,Incident Date,Location,Precinct,Allegation,Disposition,Discipline,
201310-0151,NICHOLAS R RUBENSTAHL,Police Officer,2721,2013-06-24 2:40:00,Police Vehicle,20,Injury during arrest,Officers Actions within Policy,,
201401-0036,NICHOLAS R RUBENSTAHL,Police Officer,2721,2013-08-10 3:15:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
201405-0057,NICHOLAS R RUBENSTAHL,Police Officer,2721,2014-05-04 1:42:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
201406-0125,NICHOLAS R RUBENSTAHL,Police Officer,2721,2014-03-16 1:31:00,Private Residence or Property,9,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201502-0221,NICHOLAS R RUBENSTAHL,Police Officer,2721,2014-12-31 23:14:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
201205-0143,JOSEPH E SALSGIVER,Police Officer,2722,2012-05-11 2:30:00,Street/Alley,4,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201302-0172,JOSEPH E SALSGIVER,Police Officer,2722,2013-02-10 7:20:45,Private Residence or Property,4,Individual Issued Mace,Officers Actions within Policy,,
201309-0093,JOSEPH E SALSGIVER,Police Officer,2722,2013-08-10 2:15:00,Street/Alley,4,Individual Issued Mace,Officers Actions within Policy,,
201401-0028,JOSEPH E SALSGIVER,Police Officer,2722,2013-12-21 17:38:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
201406-0150,JOSEPH E SALSGIVER,Police Officer,2722,2014-05-08 17:43:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
201203-0102,BRIAN M TAYLOR,Police Officer,2724,2012-02-05 2:20:00,Street/Alley,7,Injury during arrest,Officers Actions within Policy,,
201302-0250,BRIAN M TAYLOR,Police Officer,2724,2012-02-05 2:20:00,Street/Alley,7,Injury during arrest,,,
201311-0217,BRIAN M TAYLOR,Police Officer,2724,2013-06-15 3:46:00,Police Vehicle,17,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201501-0170,BRIAN M TAYLOR,Police Officer,2724,2014-08-18 3:34:00,Public Building or Property,17,Injury during arrest,Officers Actions within Policy,,
201201-0133,TRAVIS M TUCKER,Police Officer,2725,2011-12-18 18:13:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201202-0077,TRAVIS M TUCKER,Police Officer,2725,2012-02-05 18:45:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201202-0225,TRAVIS M TUCKER,Police Officer,2725,2012-02-01 2:17:00,Private Residence or Property,4,Injury during arrest,Officers Actions within Policy,,
201209-0139,TRAVIS M TUCKER,Police Officer,2725,2012-07-29 15:40:00,Private Residence or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
201210-0136,TRAVIS M TUCKER,Police Officer,2725,2012-09-24 15:30:00,Police Headquarters,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201210-0259,TRAVIS M TUCKER,Police Officer,2725,2012-10-21 14:45:00,Private Residence or Property,9,Force,Unfounded,,
201212-0132,TRAVIS M TUCKER,Police Officer,2725,2012-10-21 14:15:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
201301-0108,TRAVIS M TUCKER,Police Officer,2725,2012-12-09 21:38:00,Private Residence or Property,19,Striking Hands / Feet,Officers Actions within Policy,,
201301-0108,TRAVIS M TUCKER,Police Officer,2725,2012-12-09 21:38:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201306-0224,TRAVIS M TUCKER,Police Officer,2725,2013-05-07 21:55:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201311-0086,TRAVIS M TUCKER,Police Officer,2725,2013-09-22 22:18:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201311-0129,TRAVIS M TUCKER,Police Officer,2725,2013-09-01 16:00:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201403-0032,TRAVIS M TUCKER,Police Officer,2725,2014-02-15 20:20:00,Street/Alley,19,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201404-0049,TRAVIS M TUCKER,Police Officer,2725,2014-02-24 16:50:00,Street/Alley,19,Striking Hands / Feet,Officers Actions within Policy,,
201404-0049,TRAVIS M TUCKER,Police Officer,2725,2014-02-24 16:50:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201307-0266,JEFFREY R MOONEY,Police Officer,2726,2013-07-09 0:45:00,Police Vehicle,3,Injury during arrest,Officers Actions within Policy,,
201308-0084,JEFFREY R MOONEY,Police Officer,2726,2013-03-11 23:30:00,Public Building or Property,7,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201308-0084,JEFFREY R MOONEY,Police Officer,2726,2013-03-11 23:30:00,Public Building or Property,7,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201308-0241,JEFFREY R MOONEY,Police Officer,2726,2013-07-04 2:32:00,Private Residence or Property,16,Individual Issued Mace,Officers Actions within Policy,,
201309-0190,JEFFREY R MOONEY,Police Officer,2726,2013-09-17 0:42:00,Private Residence or Property,4,Injury during arrest,Officers Actions within Policy,,
201311-0082,JEFFREY R MOONEY,Police Officer,2726,2013-10-19 1:58:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201312-0063,JEFFREY R MOONEY,Police Officer,2726,2013-11-30 23:15:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201312-0157,JEFFREY R MOONEY,Police Officer,2726,2013-10-19 2:00:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201403-0210,JEFFREY R MOONEY,Police Officer,2726,2014-03-01 22:25:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201403-0212,JEFFREY R MOONEY,Police Officer,2726,2014-03-11 2:30:00,Police Headquarters,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201609-1022,JEFFREY R MOONEY,Police Officer,2726,2016-07-11 4:18:00,Street / Alley,4,Force,Not Investigated per Article 8.12,,
201303-0043,BRYCE D GARLOCK,Police Officer,2727,2013-02-28 18:05:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201402-0088,BRYCE D GARLOCK,Police Officer,2727,2014-01-25 20:00:00,Street/Alley,19,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201406-0268,BRYCE D GARLOCK,Police Officer,2727,2014-04-18 20:32:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201205-0157,NATHAN L WILSON,Police Officer,2728,2012-05-16 4:05:00,Police Vehicle,7,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201206-0010,NATHAN L WILSON,Police Officer,2728,2012-06-04 23:50:00,Street/Alley,7,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201208-0128,NATHAN L WILSON,Police Officer,2728,2012-05-02 23:35:00,Business Building Or Property,7,Striking Hands / Feet,Officers Actions within Policy,,
201208-0128,NATHAN L WILSON,Police Officer,2728,2012-05-02 23:35:00,Business Building Or Property,7,Injury during arrest,Officers Actions within Policy,,
201208-0487,NATHAN L WILSON,Police Officer,2728,2012-06-18 23:35:00,Street/Alley,7,Injury during arrest,Officers Actions within Policy,,
201210-0067,NATHAN L WILSON,Police Officer,2728,2012-09-03 17:45:00,Private Residence or Property,19,Individual Issued Mace,Officers Actions within Policy,,
201306-0322,NATHAN L WILSON,Police Officer,2728,2013-05-18 2:23:00,Private Residence or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
201306-0322,NATHAN L WILSON,Police Officer,2728,2013-05-18 2:23:00,Private Residence or Property,12,Individual Issued Mace,Officers Actions within Policy,,
201306-0322,NATHAN L WILSON,Police Officer,2728,2013-05-18 2:23:00,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
201312-0109,NATHAN L WILSON,Police Officer,2728,2013-11-24 1:02:00,Private Residence or Property,12,Striking Hands / Feet,Pending,,
201312-0109,NATHAN L WILSON,Police Officer,2728,2013-11-24 1:02:00,Private Residence or Property,12,Injury during arrest,Pending,,
201403-0133,NATHAN L WILSON,Police Officer,2728,2014-02-22 0:40:00,Police SubStation,12,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201408-0015,NATHAN L WILSON,Police Officer,2728,2014-06-28 4:10:00,Street/Alley,12,Striking Hands / Feet,Officers Actions within Policy,,
201408-0015,NATHAN L WILSON,Police Officer,2728,2014-06-28 4:10:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201411-1009,NATHAN L WILSON,Police Officer,2728,2014-11-08 1:57:00,Street / Alley,12,Force,Unfounded,,
201502-0259,NATHAN L WILSON,Police Officer,2728,2014-11-08 1:50:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201503-1021,NATHAN L WILSON,Police Officer,2728,2015-03-16 3:37:00,Street / Alley,11,Force,Unfounded,,
201511-1005,NATHAN L WILSON,Police Officer,2728,2015-08-25 23:27:00,Street / Alley,10,Force,Not Investigated per Article 8.12,,
201203-0301,ERIC J WISE,Police Officer,2729,2012-03-18 21:49:00,Private Residence or Property,2,Injury during arrest,Officers Actions within Policy,,
201403-0210,ERIC J WISE,Police Officer,2729,2014-03-01 22:25:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201311-0217,THOMAS R YURKOVICH,Police Officer,2731,2013-06-15 3:46:00,Police Vehicle,17,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201311-0217,THOMAS R YURKOVICH,Police Officer,2731,2013-06-15 3:46:00,Police Vehicle,17,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201207-0041,Sean CONNAIR,Police Officer,2732,2012-07-15 2:56:00,Bar,8,Firearm Used,Officers Actions within Policy,,
201207-0041,Sean CONNAIR,Police Officer,2732,2012-07-15 2:56:00,Bar,8,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
201401-0101,Sean CONNAIR,Police Officer,2732,2013-11-02 23:50:00,Private Residence or Property,7,Striking Hands / Feet,Officers Actions within Policy,,
201401-0101,Sean CONNAIR,Police Officer,2732,2013-11-02 23:50:00,Private Residence or Property,7,Injury during arrest,Officers Actions within Policy,,
201403-0161,Sean CONNAIR,Police Officer,2732,2014-02-28 0:00:23,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
201406-0243,Sean CONNAIR,Police Officer,2732,2014-03-08 2:20:00,Public Building or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
201406-0243,Sean CONNAIR,Police Officer,2732,2014-03-08 2:20:00,Public Building or Property,12,Injury during arrest,Officers Actions within Policy,,
201408-0015,Sean CONNAIR,Police Officer,2732,2014-06-28 4:10:00,Street/Alley,12,Striking Hands / Feet,Officers Actions within Policy,,
201408-0015,Sean CONNAIR,Police Officer,2732,2014-06-28 4:10:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201409-0022,Sean CONNAIR,Police Officer,2732,2014-09-12 3:05:00,Street/Alley,13,Force,Pending,Documented Constructive Counseling,
201409-0022,Sean CONNAIR,Police Officer,2732,2014-09-12 3:05:00,Street/Alley,13,Force,Pending,Documented Constructive Counseling,
201409-0022,Sean CONNAIR,Police Officer,2732,2014-09-12 3:05:00,Street/Alley,13,Force,Pending,Documented Constructive Counseling,
201502-0014,Sean CONNAIR,Police Officer,2732,2014-10-24 0:23:00,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
201510-1011,Sean CONNAIR,Police Officer,2732,2015-10-09 2:00:00,Street / Alley,11,Force,Unfounded,,
201604-1030,Sean CONNAIR,Police Officer,2732,2016-02-20 3:19:00,Street / Alley,11,Force,Unfounded,,
201605-1010,Sean CONNAIR,Police Officer,2732,2016-05-07 0:00:00,Private Residence or Property,12,Force,Unfounded,,
201307-0238,DON W ALDERMAN,Police Officer,2733,2013-04-24 21:45:00,Business Building Or Property,6,Injury during arrest,Officers Actions within Policy,,
201309-0180,DON W ALDERMAN,Police Officer,2733,2013-07-06 0:14:00,Street/Alley,15,Injury during arrest,Officers Actions within Policy,Written Reprimand,
201309-0180,DON W ALDERMAN,Police Officer,2733,2013-07-06 0:14:00,Street/Alley,15,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201309-0180,DON W ALDERMAN,Police Officer,2733,2013-07-06 0:14:00,Street/Alley,15,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201309-0180,DON W ALDERMAN,Police Officer,2733,2013-07-06 0:14:00,Street/Alley,15,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201311-0166,DON W ALDERMAN,Police Officer,2733,2013-11-17 5:09:00,Private Residence or Property,15,Firearm Used,Officers Actions within Policy,,
201501-0309,DON W ALDERMAN,Police Officer,2733,2014-08-02 0:26:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201309-0066,CHRISTOPHER J FRANCIS,Police Officer,2735,2013-08-07 18:30:00,Police Vehicle,15,Injury during arrest,Officers Actions within Policy,,
201211-0030,JENNIFER HOLMES,Police Officer,2739,2012-10-28 2:20:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
201307-0266,JENNIFER HOLMES,Police Officer,2739,2013-07-09 0:45:00,Police Vehicle,3,Injury during arrest,Officers Actions within Policy,,
201308-0084,JENNIFER HOLMES,Police Officer,2739,2013-03-11 23:30:00,Public Building or Property,7,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201308-0084,JENNIFER HOLMES,Police Officer,2739,2013-03-11 23:30:00,Public Building or Property,7,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
201312-0036,JENNIFER HOLMES,Police Officer,2739,2013-09-09 2:52:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201312-0157,JENNIFER HOLMES,Police Officer,2739,2013-10-19 2:00:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201402-0101,JENNIFER HOLMES,Police Officer,2739,2013-11-18 2:35:00,Street/Alley,4,Striking Hands / Feet,Officers Actions within Policy,,
201402-0101,JENNIFER HOLMES,Police Officer,2739,2013-11-18 2:35:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201309-0066,MATTHEW B ANDERSON,Police Officer,2741,2013-08-07 18:30:00,Police Vehicle,15,Injury during arrest,Officers Actions within Policy,,
201501-0133,MATTHEW B ANDERSON,Police Officer,2741,2014-07-27 0:45:00,Private Residence or Property,20,Injury during arrest,Officers Actions within Policy,,
201407-0046,JARED BARSOTTI,Police Officer,2742,2014-07-05 23:24:00,Bar,1,Force,Pending,Written Reprimand,
201407-0046,JARED BARSOTTI,Police Officer,2742,2014-07-05 23:24:00,Bar,1,Force,Pending,Documented Constructive Counseling,
201407-0046,JARED BARSOTTI,Police Officer,2742,2014-07-05 23:24:00,Bar,1,Force,Pending,Documented Constructive Counseling,
201505-1037,JARED BARSOTTI,Police Officer,2742,2015-05-20 22:31:00,Private Residence or Property,13,Force,Pending,,
201308-0112,BRIAN D CONNELLY,Police Officer,2748,2013-07-19 3:36:00,Public Building or Property,15,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
201308-0146,BRIAN D CONNELLY,Police Officer,2748,2013-07-24 23:40:00,Private Residence or Property,15,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201401-0180,BRIAN D CONNELLY,Police Officer,2748,2013-12-14 17:40:00,Private Residence or Property,10,Striking Hands / Feet,Officers Actions within Policy,,
201401-0180,BRIAN D CONNELLY,Police Officer,2748,2013-12-14 17:40:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201404-0107,BRIAN D CONNELLY,Police Officer,2748,2014-03-23 0:40:00,Street/Alley,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201501-0246,BRIAN D CONNELLY,Police Officer,2748,2015-01-24 21:41:00,Other,9,Individual Issued Mace,Officers Actions within Policy,,
201502-0239,BRIAN D CONNELLY,Police Officer,2748,2014-11-02 1:30:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
201502-1024,BRIAN D CONNELLY,Police Officer,2748,2015-02-23 18:45:00,Business Building or Property,9,Force,Exonerated,,
201503-1034,BRIAN D CONNELLY,Police Officer,2748,2015-03-24 16:20:00,Street / Alley,9,Force,Unfounded,,
201704-1001,BRIAN D CONNELLY,Police Officer,2748,2017-04-01 18:00:00,Private Residence or Property,15,Handling of Prisoner,Unfounded,,
201403-0018,DUANE D DERWACTER,Police Officer,2749,2014-02-07 21:00:00,Business Building Or Property,12,Injury during arrest,Officers Actions within Policy,,
201410-0013,DUANE D DERWACTER,Police Officer,2749,2014-09-20 19:34:00,Private Residence or Property,,Force,Exonerated,,
201502-0191,DUANE D DERWACTER,Police Officer,2749,2014-12-21 20:30:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
201502-0251,DUANE D DERWACTER,Police Officer,2749,2014-10-28 7:49:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
201607-1035,DUANE D DERWACTER,Police Officer,2749,2016-07-25 0:18:00,Private Residence or Property,13,Handling of Prisoner,Unfounded,,
201310-0014,JAMES R DICKSON,Police Officer,2751,2013-09-12 21:37:00,Street/Alley,18,Injury during arrest,Officers Actions within Policy,,
201401-0110,JAMES R DICKSON,Police Officer,2751,2013-12-03 20:20:00,Street/Alley,6,Injury during arrest,Officers Actions within Policy,,
201501-0067,JAMES R DICKSON,Police Officer,2751,2014-07-27 21:59:00,Private Residence or Property,6,Striking Hands / Feet,Officers Actions within Policy,,
201501-0067,JAMES R DICKSON,Police Officer,2751,2014-07-27 21:59:00,Private Residence or Property,6,Injury during arrest,Officers Actions within Policy,,
201606-1037,RICHARD J DONALDSON,Police Officer,2752,2016-06-17 3:24:00,Business Building or Property,14,Force,Unfounded,Documented Constructive Counseling,
201705-1029,Jacob A Velas,Officer,2753,2017-05-20 2:28:00,Bar,16,Force,Withdrawn,,
201307-0201,TRENTON D EVERHART,Police Officer,2755,2013-07-23 22:00:00,Street/Alley,7,Injury after arrest (transporting / processing),Pending,,
201308-0032,TRENTON D EVERHART,Police Officer,2755,2013-07-23 9:01:24,Police SubStation,7,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201406-0127,TRENTON D EVERHART,Police Officer,2755,2014-05-25 23:30:00,Street/Alley,2,Injury during arrest,Officers Actions within Policy,,
201505-1032,TRENTON D EVERHART,Police Officer,2755,2014-08-23 16:13:00,Private Residence or Property,14,Force,Intentional and not in Violation of Policy,,
201307-0328,CHRISTOPHER FARRINGTON,Police Officer,2756,2013-07-22 5:15:00,Private Residence or Property,8,Injury during arrest,Officers Actions within Policy,,
201405-0024,CHRISTOPHER FARRINGTON,Police Officer,2756,2014-05-10 3:00:00,Business Building Or Property,2,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201410-0058,CHRISTOPHER FARRINGTON,Police Officer,2756,2014-03-15 4:28:00,Street/Alley,2,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201502-0075,CHRISTOPHER FARRINGTON,Police Officer,2756,2014-12-13 4:11:00,Street/Alley,2,Injury during arrest,Officers Actions within Policy,,
201502-0255,CHRISTOPHER FARRINGTON,Police Officer,2756,2014-11-25 3:17:00,Private Residence or Property,2,Injury during arrest,Officers Actions within Policy,,
201702-1021,CHRISTOPHER FARRINGTON,Police Officer,2756,2017-01-21 3:43:00,Private Residence or Property,2,Force,Cancel for Cause,,
201403-0128,BRAD E FOULK,Police Officer,2758,2014-02-02 3:39:00,Business Building Or Property,10,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201309-0010,AUTUMN E HAMRICK,Police Officer,2759,2013-08-18 21:31:00,Street/Alley,1,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201407-0078,AUTUMN E HAMRICK,Police Officer,2759,2014-07-17 14:49:00,Street/Alley,11,Force,Pending,,
201502-0236,AUTUMN E HAMRICK,Police Officer,2759,2014-11-01 1:27:00,Private Residence or Property,16,Individual Issued Mace,Officers Actions within Policy,,
201502-0244,AUTUMN E HAMRICK,Police Officer,2759,2014-10-06 16:17:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
201508-1008,AUTUMN E HAMRICK,Police Officer,2759,2015-07-05 15:22:00,Business Building or Property,11,Force,Unfounded,,
201309-0022,PATRICK M HERNANDEZ,Police Officer,2761,2013-08-27 20:30:00,Public Building or Property,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201309-0022,PATRICK M HERNANDEZ,Police Officer,2761,2013-08-27 20:30:00,Public Building or Property,16,Handling of Prisoner,Unfounded,,
201403-0250,JACOB W JENKINS,Police Officer,2765,2014-03-03 5:00:00,Jail/Correction Facility,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201408-0045,JACOB W JENKINS,Police Officer,2765,2014-06-08 2:58:00,Private Residence or Property,4,Force,Unfounded,,
201406-0018,ANTHONY L JOHNSON,Police Officer,2766,2014-04-18 19:50:00,Street/Alley,13,Injury during arrest,Officers Actions within Policy,,
201406-0021,ANTHONY L JOHNSON,Police Officer,2766,2014-04-07 18:53:00,Private Residence or Property,13,Injury during arrest,Officers Actions within Policy,,
201406-0224,ANTHONY L JOHNSON,Police Officer,2766,2014-04-20 16:55:00,Private Residence or Property,13,Striking Hands / Feet,Officers Actions within Policy,,
201406-0224,ANTHONY L JOHNSON,Police Officer,2766,2014-04-20 16:55:00,Private Residence or Property,13,Injury during arrest,Officers Actions within Policy,,
201501-0070,ANTHONY L JOHNSON,Police Officer,2766,2014-11-06 16:07:00,Private Residence or Property,13,Firearm Used,Pending,,
201312-0077,KYLIE M LAVEY,Police Officer,2769,2013-11-12 18:41:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
201410-0026,PAUL III F BADOIS,Police Officer,2770,2014-10-21 18:00:00,Private Residence or Property,12,Force,Pending,,
201406-0040,STUART C MCGINN,Police Officer,2772,2014-04-07 20:15:00,Business Building Or Property,4,Injury during arrest,Officers Actions within Policy,,
201312-0021,EDWARD J REICHENBACH,Police Officer,2774,2013-10-09 12:26:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
201504-1016,RANDALL JR C BEAM,Police Officer,2778,2014-01-16 22:38:00,Bar,13,Force,Not Investigated per Article 8.12,,
201504-1016,RANDALL JR C BEAM,Police Officer,2778,2014-01-16 22:38:00,Bar,13,Handling of Prisoner,Not Investigated per Article 8.12,,
201310-0197,JONATHAN M SKINNER,Police Officer,2780,2013-08-30 0:45:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201503-1011,JONATHAN M SKINNER,Police Officer,2780,2015-03-02 20:30:00,Private Residence or Property,12,Handling of Prisoner,Cancelled Info Only,,
201310-0175,KEVIN D SMITH,Police Officer,2781,2013-09-19 15:30:00,Private Residence or Property,1,Injury during arrest,Officers Actions within Policy,,
201311-0220,KEVIN D SMITH,Police Officer,2781,2013-10-27 2:40:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
201501-0194,JONATHAN STERLING,Police Officer,2783,2014-11-02 0:03:00,Street/Alley,5,Individual Issued Mace,Officers Actions within Policy,,
201502-0251,JONATHAN STERLING,Police Officer,2783,2014-10-28 7:49:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
201502-0251,JONATHAN STERLING,Police Officer,2783,2014-10-28 7:49:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
201310-0142,JR ROBERT A TATE,Police Officer,2784,2013-04-30 16:25:00,Street/Alley,5,Injury during arrest,Officers Actions within Policy,,
201406-0042,JR ROBERT A TATE,Police Officer,2784,2014-04-14 2:00:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
201406-0040,ZACHARIAH WEST,Police Officer,2787,2014-04-07 20:15:00,Business Building Or Property,4,Injury during arrest,Officers Actions within Policy,,
201502-0147,ZACHARIAH WEST,Police Officer,2787,2014-12-21 4:37:00,Private Residence or Property,3,Injury during arrest,Officers Actions within Policy,,
201607-1035,ZACHARIAH WEST,Police Officer,2787,2016-07-25 0:18:00,Private Residence or Property,13,Handling of Prisoner,Unfounded,,
201406-0156,RYAN BYRGE,Police Officer,2794,2014-04-12 2:30:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
201503-1042,Matthew R Carroll,Officer,2796,2015-03-21 15:58:00,Private Residence or Property,18,Force,Intentional and not in Violation of Policy,,
201602-1006,AUSTIN D COVEY,Police Officer,2798,2016-01-28 21:00:00,Private Residence or Property,2,Force,Unfounded,,
201406-0271,DAVID A DRENNING,Police Officer,2799,2014-04-21 16:28:00,Other,14,Injury during arrest,Officers Actions within Policy,,
201410-0058,DAVID A DRENNING,Police Officer,2799,2014-03-15 4:28:00,Street/Alley,2,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201408-0002,DONALD HACKNEY,Police Officer,2801,2014-06-01 1:34:00,Street/Alley,14,Striking Hands / Feet,Officers Actions within Policy,,
201408-0002,DONALD HACKNEY,Police Officer,2801,2014-06-01 1:34:00,Street/Alley,14,Injury during arrest,Officers Actions within Policy,,
201501-0004,DONALD HACKNEY,Police Officer,2801,2014-08-30 2:45:00,Business Building Or Property,14,Individual Issued Mace,Officers Actions within Policy,,
201403-0240,NATHANIEL D HARP,Police Officer,2802,2014-02-20 21:30:00,Private Residence or Property,20,Injury during arrest,Officers Actions within Policy,,
201406-0261,NATHANIEL D HARP,Police Officer,2802,2014-05-17 4:36:00,Public Building or Property,6,Injury during arrest,Officers Actions within Policy,,
201608-1007,Carl Harmon,Officer,2805,2016-08-06 19:17:00,Private Residence or Property,2,Force,Unfounded,,
201403-0134,TINA S MARSH,Police Officer,2808,2014-01-26 3:24:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201403-0034,ROBERT III MARTIN,Police Officer,2809,2014-02-14 2:16:00,Street/Alley,16,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201412-1017,ROBERT III MARTIN,Police Officer,2809,2014-12-20 5:49:00,Business Building or Property,1,Force,Cancelled Info Only,,
201606-1034,ROBERT III MARTIN,Police Officer,2809,2016-06-19 3:53:00,Street / Alley,1,Force,Not Sustained,,
201612-1012,ROBERT III MARTIN,Police Officer,2809,2016-12-11 3:25:00,Street / Alley,1,Force,Unfounded,,
201501-0320,RYAN P MAUCK,Police Officer,2810,2014-08-29 20:36:00,Unknown,20,Injury during arrest,Officers Actions within Policy,,
201406-0001,AARON MCDONALD,Police Officer,2811,2014-04-11 2:35:00,Private Residence or Property,2,Striking Weapon,Officers Actions within Policy,,
201503-1011,AARON MCDONALD,Police Officer,2811,2015-03-02 20:30:00,Private Residence or Property,12,Handling of Prisoner,Cancelled Info Only,,
201502-0110,MICHAEL B MORAN,Police Officer,2815,2014-10-26 3:18:00,Business Building Or Property,17,Individual Issued Mace,Officers Actions within Policy,,
201405-0062,ARJUN P NAGRA,Police Officer,2816,2014-02-13 3:35:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201502-0071,NICHOLAS R OFFERS,Police Officer,2817,2014-12-16 0:47:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201406-0068,GARY D PATTERSON,Police Officer,2819,2014-04-12 16:49:00,Private Residence or Property,12,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201501-0057,DEVIN REISER,Police Officer,2823,2014-06-19 0:39:00,Police Vehicle,8,Injury during arrest,Officers Actions within Policy,,
201501-0186,DEVIN REISER,Police Officer,2823,2014-11-01 2:35:00,Public Building or Property,4,Injury during arrest,Officers Actions within Policy,,
201403-0084,CLAYTON SOMMERKAMP,Police Officer,2827,2014-03-01 13:16:00,Street/Alley,5,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201502-1015,CLAYTON SOMMERKAMP,Police Officer,2827,2015-02-13 4:47:00,Private Residence or Property,10,Force,Pending,,
